Game,Opp,W/L,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,GSW,L,100,108,33,91,0.363,10,37,0.27,24,37,0.649,16,45,21,12,6,14,21,42,95,0.442,7,26,0.269,17,18,0.944,17,58,28,7,7,21,29
2,LAC,L,92,108,34,95,0.358,7,33,0.212,17,23,0.739,15,52,18,5,4,12,29,35,81,0.432,11,26,0.423,27,36,0.75,10,48,21,3,3,14,24
3,SAC,L,120,131,46,104,0.442,9,39,0.231,19,30,0.633,18,51,23,11,9,18,29,50,91,0.549,10,22,0.455,21,28,0.75,12,46,28,11,7,17,26
4,BOS,L,95,101,37,94,0.394,7,28,0.25,14,25,0.56,16,57,19,5,6,16,27,33,86,0.384,11,32,0.344,24,33,0.727,10,45,19,7,1,11,27
5,PHO,W,117,110,43,85,0.506,7,24,0.292,24,35,0.686,9,43,22,16,3,15,24,38,86,0.442,8,27,0.296,26,27,0.963,10,44,21,10,3,22,32
6,LAC,W,128,110,48,94,0.511,9,17,0.529,23,32,0.719,9,41,19,16,6,15,35,35,74,0.473,7,20,0.35,33,43,0.767,6,38,18,6,7,24,26
7,CHO,W,111,107,41,96,0.427,8,37,0.216,21,29,0.724,14,49,20,12,9,10,21,38,93,0.409,11,41,0.268,20,22,0.909,11,51,26,7,3,17,26
8,WAS,W,134,111,49,86,0.57,15,32,0.469,21,26,0.808,7,38,34,13,5,13,20,44,86,0.512,9,30,0.3,14,18,0.778,6,30,27,6,4,18,21
9,NOP,W,122,116,45,93,0.484,10,27,0.37,22,31,0.71,9,41,26,15,3,12,23,41,84,0.488,9,29,0.31,25,30,0.833,11,45,27,8,5,20,26
10,CLE,W,95,86,35,84,0.417,7,27,0.259,18,26,0.692,7,44,10,13,9,12,23,33,89,0.371,9,31,0.29,11,13,0.846,12,51,17,3,4,19,26
11,HOU,W,98,80,36,81,0.444,9,37,0.243,17,24,0.708,13,52,18,10,4,14,16,31,82,0.378,11,42,0.262,7,10,0.7,12,39,16,9,3,16,26
12,DAL,L,96,111,38,97,0.392,9,34,0.265,11,18,0.611,26,53,17,9,2,16,19,43,77,0.558,14,29,0.483,11,17,0.647,4,38,31,9,5,16,23
13,PHO,W,118,101,43,92,0.467,13,27,0.481,19,20,0.95,12,42,23,12,6,13,15,39,81,0.481,7,26,0.269,16,19,0.842,10,37,25,5,5,18,21
14,NYK,W,128,103,51,95,0.537,16,33,0.485,10,12,0.833,13,47,32,11,7,16,21,39,88,0.443,7,26,0.269,18,23,0.783,9,36,18,8,8,18,17
15,PHO,W,110,100,38,85,0.447,7,24,0.292,27,32,0.844,14,52,17,9,7,18,20,37,82,0.451,12,29,0.414,14,21,0.667,4,31,25,14,6,14,28
