Game,Opp,Year,Result,TmScore,OppScore,FG,FGA,FGPCT,3P,3PA,3PPCT,FT,FTA,FTPCT,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,BOS,2006-2007,W,91,87,36,84,0.429,1,11,0.091,18,33,0.545,10,46,17,6,4,15,31,30,75,0.4,3,16,0.188,24,39,0.615,10,52,18,5,6,19,31
2,IND,2006-2007,W,100,91,37,84,0.44,3,14,0.214,23,27,0.852,19,53,16,2,4,15,22,32,80,0.4,7,26,0.269,20,24,0.833,11,34,21,7,7,12,23
3,HOU,2006-2007,W,96,90,33,70,0.471,9,16,0.563,21,35,0.6,9,35,20,12,3,15,23,32,79,0.405,9,27,0.333,17,26,0.654,16,51,19,9,0,20,27
4,GSW,2006-2007,W,97,93,38,89,0.427,6,15,0.4,15,18,0.833,21,52,19,5,2,15,17,37,80,0.463,7,25,0.28,12,15,0.8,9,34,20,7,9,14,22
5,GSW,2006-2007,L,116,121,41,81,0.506,5,13,0.385,29,39,0.744,20,45,22,4,3,19,27,39,76,0.513,13,34,0.382,30,37,0.811,7,30,30,9,5,10,31
6,POR,2006-2007,L,91,92,36,83,0.434,5,18,0.278,14,16,0.875,13,44,19,3,3,14,24,28,67,0.418,4,15,0.267,32,40,0.8,8,36,11,7,10,12,21
7,LAC,2006-2007,L,76,92,31,68,0.456,2,13,0.154,12,19,0.632,10,38,13,7,5,23,22,32,77,0.416,6,15,0.4,22,25,0.88,13,35,19,10,4,15,21
8,CHA,2006-2007,W,94,85,35,86,0.407,7,16,0.438,17,26,0.654,12,44,15,10,6,10,21,35,77,0.455,2,7,0.286,13,23,0.565,11,50,15,3,10,17,25
9,DET,2006-2007,W,100,99,38,86,0.442,4,12,0.333,20,23,0.87,19,44,18,4,3,6,20,38,73,0.521,6,18,0.333,17,26,0.654,8,35,20,2,6,8,20
10,MIN,2006-2007,W,99,96,39,81,0.481,4,10,0.4,17,20,0.85,10,37,17,5,3,14,22,35,85,0.412,5,14,0.357,21,27,0.778,18,50,25,7,4,15,16
11,MIA,2006-2007,W,101,86,37,88,0.42,11,19,0.579,16,32,0.5,14,52,25,8,4,11,18,32,87,0.368,4,22,0.182,18,24,0.75,16,55,18,2,3,14,23
12,PHO,2006-2007,L,83,92,34,85,0.4,1,14,0.071,14,19,0.737,13,40,7,10,1,11,17,33,70,0.471,10,22,0.455,16,19,0.842,5,41,20,5,5,18,17
13,MIN,2006-2007,L,79,86,27,80,0.338,3,17,0.176,22,26,0.846,9,42,13,7,5,8,19,35,73,0.479,2,11,0.182,14,21,0.667,8,52,20,2,5,16,22
14,DAL,2006-2007,L,73,85,28,78,0.359,3,10,0.3,14,26,0.538,14,49,8,10,5,18,30,26,67,0.388,3,17,0.176,30,41,0.732,8,46,14,9,3,17,23
15,TOR,2006-2007,L,77,94,32,77,0.416,3,12,0.25,10,18,0.556,13,41,16,8,3,15,18,35,78,0.449,7,22,0.318,17,20,0.85,14,42,14,9,5,14,19
16,CHI,2006-2007,L,108,111,36,78,0.462,9,18,0.5,27,40,0.675,11,44,25,7,6,18,22,41,86,0.477,12,21,0.571,17,25,0.68,10,43,25,6,7,15,32
17,LAL,2006-2007,W,105,89,44,92,0.478,6,15,0.4,11,17,0.647,20,49,20,8,3,15,21,36,73,0.493,3,19,0.158,14,23,0.609,5,31,24,9,6,17,19
18,SEA,2006-2007,L,74,94,28,72,0.389,3,13,0.231,15,26,0.577,11,40,13,5,2,26,21,35,77,0.455,3,13,0.231,21,27,0.778,10,40,23,14,3,18,22
19,GSW,2006-2007,L,80,101,30,70,0.429,4,18,0.222,16,24,0.667,7,38,18,8,3,18,21,41,83,0.494,8,28,0.286,11,13,0.846,9,42,29,9,3,15,22
20,CLE,2006-2007,W,95,89,40,73,0.548,1,12,0.083,14,20,0.7,8,36,21,5,5,7,14,36,84,0.429,7,21,0.333,10,13,0.769,18,41,19,5,0,10,18
21,SAS,2006-2007,L,77,103,32,79,0.405,2,7,0.286,11,17,0.647,10,33,17,6,1,14,16,40,80,0.5,7,19,0.368,16,22,0.727,11,44,26,6,6,14,19
22,DAL,2006-2007,L,79,90,34,83,0.41,3,10,0.3,8,13,0.615,5,39,16,6,4,7,15,37,87,0.425,6,16,0.375,10,11,0.909,11,50,19,3,4,9,17
23,MIA,2006-2007,L,99,101,39,79,0.494,7,14,0.5,14,19,0.737,11,33,16,6,4,15,23,38,77,0.494,8,22,0.364,17,22,0.773,11,35,21,5,11,13,19
24,ORL,2006-2007,L,83,86,24,65,0.369,6,9,0.667,29,38,0.763,14,38,12,10,5,19,24,33,73,0.452,3,10,0.3,17,25,0.68,13,39,16,8,5,19,28
25,MEM,2006-2007,W,100,97,37,84,0.44,6,18,0.333,20,29,0.69,19,57,20,6,3,14,23,34,80,0.425,10,26,0.385,19,23,0.826,7,37,17,6,5,10,23
26,SAS,2006-2007,L,77,112,31,83,0.373,5,11,0.455,10,10,1,15,40,11,7,1,16,16,44,70,0.629,12,16,0.75,12,17,0.706,3,32,33,11,7,12,13
27,SEA,2006-2007,L,94,102,37,81,0.457,5,20,0.25,15,28,0.536,11,40,23,5,2,13,12,42,77,0.545,7,13,0.538,11,16,0.688,5,36,26,5,4,13,23
28,POR,2006-2007,L,85,100,31,77,0.403,4,13,0.308,19,26,0.731,14,41,16,3,8,10,22,35,80,0.438,5,14,0.357,25,30,0.833,16,48,18,6,8,12,17
29,DEN,2006-2007,W,99,89,38,81,0.469,5,10,0.5,18,23,0.783,6,47,25,8,6,17,20,33,89,0.371,7,26,0.269,16,19,0.842,13,46,13,9,3,14,23
30,DAL,2006-2007,L,80,94,28,69,0.406,2,10,0.2,22,29,0.759,8,43,13,4,1,15,25,35,79,0.443,5,12,0.417,19,24,0.792,6,38,23,5,6,9,23
31,GSW,2006-2007,L,89,97,36,76,0.474,6,17,0.353,11,15,0.733,7,49,18,3,4,16,20,34,86,0.395,9,29,0.31,20,31,0.645,13,46,17,10,2,6,16
32,DET,2006-2007,L,68,92,29,88,0.33,4,14,0.286,6,9,0.667,14,45,13,6,3,13,20,35,76,0.461,4,10,0.4,18,23,0.783,8,50,17,7,3,13,13
33,IND,2006-2007,L,93,100,33,72,0.458,5,13,0.385,22,30,0.733,11,37,18,6,4,14,29,33,70,0.471,6,18,0.333,28,32,0.875,10,37,13,6,4,16,28
34,LAC,2006-2007,L,90,100,33,75,0.44,4,14,0.286,20,24,0.833,9,34,24,7,2,15,21,37,84,0.44,7,16,0.438,19,21,0.905,15,45,19,8,2,13,20
35,ATL,2006-2007,W,96,77,34,65,0.523,9,16,0.563,19,26,0.731,3,41,20,5,4,21,15,30,90,0.333,3,11,0.273,14,17,0.824,13,43,18,12,0,10,24
36,WAS,2006-2007,W,104,97,42,77,0.545,8,16,0.5,12,14,0.857,12,37,23,5,2,21,19,37,79,0.468,7,22,0.318,16,18,0.889,11,31,18,13,2,16,20
37,ORL,2006-2007,W,84,78,30,80,0.375,4,17,0.235,20,23,0.87,11,48,11,6,5,16,19,29,83,0.349,5,15,0.333,15,23,0.652,12,49,15,8,6,16,17
38,SAS,2006-2007,L,86,99,34,83,0.41,5,11,0.455,13,20,0.65,10,39,14,6,3,14,24,35,77,0.455,7,26,0.269,22,29,0.759,12,47,21,7,9,16,17
39,LAL,2006-2007,W,113,103,41,85,0.482,8,18,0.444,23,29,0.793,17,46,20,7,7,9,20,36,81,0.444,10,27,0.37,21,26,0.808,14,37,17,4,2,9,24
40,PHI,2006-2007,L,96,102,35,83,0.422,5,17,0.294,21,28,0.75,17,42,14,9,5,15,20,38,77,0.494,4,8,0.5,22,25,0.88,5,36,26,5,3,16,19
41,TOR,2006-2007,L,88,90,35,83,0.422,7,17,0.412,11,14,0.786,11,49,17,3,6,13,22,33,80,0.413,6,17,0.353,18,27,0.667,8,40,17,6,4,6,14
42,SAC,2006-2007,W,88,84,36,81,0.444,5,13,0.385,11,17,0.647,8,45,24,5,10,12,21,28,77,0.364,5,17,0.294,23,27,0.852,8,43,17,7,4,12,15
43,UTA,2006-2007,W,94,83,32,68,0.471,5,12,0.417,25,29,0.862,8,40,17,5,11,15,24,30,80,0.375,1,14,0.071,22,31,0.71,17,46,16,9,6,12,24
