Game,Opp,W/L,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
71,POR,W,115,111,38,79,0.481,19,36,0.528,20,29,0.69,7,38,18,3,4,9,23,40,81,0.494,11,28,0.393,20,27,0.741,10,44,20,6,7,8,18
72,DET,W,100,96,35,99,0.354,12,51,0.235,18,28,0.643,12,52,19,9,3,12,19,40,95,0.421,6,38,0.158,10,19,0.526,16,66,22,9,5,15,17
73,NOP,W,114,91,45,93,0.484,18,47,0.383,6,8,0.75,5,48,22,10,8,19,17,38,96,0.396,6,21,0.286,9,12,0.75,12,46,19,10,6,16,14
74,ATL,W,118,99,44,90,0.489,20,52,0.385,10,11,0.909,6,45,28,7,4,11,12,39,88,0.443,11,40,0.275,10,11,0.909,7,45,18,5,2,13,14
75,CHI,W,118,86,41,93,0.441,18,57,0.316,18,21,0.857,9,46,28,15,6,10,12,34,89,0.382,8,37,0.216,10,17,0.588,13,51,17,8,1,18,17
76,PHO,W,104,103,35,81,0.432,14,38,0.368,20,29,0.69,8,39,22,9,7,10,12,41,84,0.488,12,32,0.375,9,13,0.692,8,46,23,8,5,17,21
77,SAS,L,83,100,26,77,0.338,7,31,0.226,24,29,0.828,8,42,12,3,3,9,19,40,81,0.494,6,17,0.353,14,21,0.667,8,48,19,8,8,8,19
78,WAS,W,120,104,43,84,0.512,16,46,0.348,18,27,0.667,10,46,26,13,3,9,14,38,72,0.528,12,25,0.48,16,23,0.696,3,36,25,6,1,17,21
79,POR,W,96,94,34,73,0.466,13,37,0.351,15,24,0.625,6,38,16,10,5,15,16,39,85,0.459,7,22,0.318,9,14,0.643,12,47,16,10,2,18,20
80,OKC,L,102,108,36,76,0.474,14,37,0.378,16,23,0.696,6,41,23,7,5,17,24,36,91,0.396,10,33,0.303,26,33,0.788,15,42,21,11,5,11,20
81,LAL,W,105,99,37,88,0.42,16,47,0.34,15,16,0.938,8,49,19,9,5,18,19,38,90,0.422,10,36,0.278,13,15,0.867,9,47,22,14,4,17,19
82,SAC,L,83,96,31,82,0.378,13,46,0.283,8,12,0.667,8,40,11,2,6,14,24,38,80,0.475,7,26,0.269,13,20,0.65,6,48,22,6,3,11,14
