Game,Opp,Year,Result,TmScore,OppScore,FG,FGA,FGPCT,3P,3PA,3PPCT,FT,FTA,FTPCT,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,GSW,2008-2009,W,108,103,41,82,0.5,7,17,0.412,19,27,0.704,8,42,23,8,6,13,24,36,82,0.439,9,23,0.391,22,32,0.688,11,39,18,10,5,13,26
2,PHO,2008-2009,W,108,95,37,78,0.474,13,24,0.542,21,28,0.75,10,33,16,10,5,10,15,37,68,0.544,7,18,0.389,14,21,0.667,7,38,16,2,3,24,24
3,CLE,2008-2009,W,104,92,36,76,0.474,7,13,0.538,25,29,0.862,9,36,25,9,2,14,19,36,75,0.48,9,22,0.409,11,19,0.579,7,36,21,5,4,17,24
4,ATL,2008-2009,L,79,87,30,71,0.423,7,20,0.35,12,15,0.8,8,35,24,9,5,14,18,34,79,0.43,12,30,0.4,7,13,0.538,13,45,19,7,4,14,20
5,CHA,2008-2009,L,89,92,32,76,0.421,11,28,0.393,14,19,0.737,11,37,21,9,5,17,27,28,67,0.418,7,18,0.389,29,31,0.935,10,37,15,10,2,14,22
6,MIA,2008-2009,W,100,89,34,76,0.447,10,27,0.37,22,29,0.759,12,45,23,7,3,10,23,31,72,0.431,8,21,0.381,19,26,0.731,8,37,20,7,3,10,23
7,LAL,2008-2009,L,86,93,34,76,0.447,5,17,0.294,13,20,0.65,8,43,16,6,2,16,23,32,78,0.41,6,16,0.375,23,28,0.821,9,40,20,11,4,9,19
8,POR,2008-2009,W,87,82,30,71,0.423,7,22,0.318,20,24,0.833,11,40,14,5,4,9,17,30,69,0.435,7,21,0.333,15,18,0.833,7,38,22,4,5,10,19
9,HOU,2008-2009,L,82,91,31,76,0.408,3,10,0.3,17,20,0.85,10,35,17,9,4,8,24,30,66,0.455,6,15,0.4,25,28,0.893,9,41,21,4,4,14,17
10,SAC,2008-2009,L,96,105,40,77,0.519,2,13,0.154,14,17,0.824,13,34,24,11,2,14,19,41,75,0.547,7,19,0.368,16,21,0.762,11,32,24,8,1,15,17
11,OKC,2008-2009,W,105,80,40,81,0.494,8,17,0.471,17,22,0.773,3,35,21,14,6,14,26,26,71,0.366,3,7,0.429,25,29,0.862,9,48,14,6,1,25,22
12,OKC,2008-2009,W,109,97,40,74,0.541,6,17,0.353,23,24,0.958,8,35,24,9,4,12,18,38,72,0.528,5,12,0.417,16,23,0.696,7,29,21,7,1,12,19
13,LAC,2008-2009,W,99,87,40,81,0.494,5,14,0.357,14,16,0.875,10,48,22,3,3,15,17,33,86,0.384,6,19,0.316,15,22,0.682,13,37,20,8,8,10,18
14,DEN,2008-2009,W,105,101,33,73,0.452,12,23,0.522,27,29,0.931,11,35,20,10,2,15,21,38,75,0.507,7,17,0.412,18,22,0.818,9,35,24,9,6,16,24
15,POR,2008-2009,L,86,101,35,79,0.443,8,16,0.5,8,10,0.8,8,32,15,6,2,10,25,37,69,0.536,8,23,0.348,19,25,0.76,9,38,25,5,7,12,18
16,PHO,2008-2009,W,104,91,33,73,0.452,8,19,0.421,30,35,0.857,17,46,20,9,6,13,16,37,78,0.474,7,19,0.368,10,13,0.769,10,30,20,6,3,13,23
17,MEM,2008-2009,W,106,87,38,73,0.521,11,20,0.55,19,20,0.95,6,41,21,5,3,12,27,33,73,0.452,3,14,0.214,18,27,0.667,8,32,20,2,4,12,25
18,CHA,2008-2009,W,105,89,40,82,0.488,12,20,0.6,13,15,0.867,14,48,29,8,10,15,20,34,82,0.415,6,12,0.5,15,21,0.714,13,38,16,8,4,12,18
19,BOS,2008-2009,L,82,94,28,79,0.354,2,14,0.143,24,33,0.727,13,42,17,10,4,10,30,33,70,0.471,6,16,0.375,22,35,0.629,12,48,14,4,5,16,28
