Game,Opp,Year,Result,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
20,TOR,2012-13,W,102,83,36,79,0.456,6,19,0.316,24,34,0.706,15,45,21,11,6,9,17,30,77,0.39,10,26,0.385,13,17,0.765,11,39,22,3,5,14,22
21,CHI,2012-13,W,94,89,37,80,0.463,4,11,0.364,16,23,0.696,11,42,19,11,5,15,15,35,87,0.402,10,20,0.5,9,12,0.75,18,50,26,8,4,16,18
22,CHA,2012-13,W,100,94,37,85,0.435,9,23,0.391,17,25,0.68,17,48,26,6,11,11,16,35,82,0.427,5,16,0.313,19,24,0.792,12,44,18,4,5,12,24
23,MIL,2012-13,W,111,85,44,82,0.537,5,11,0.455,18,24,0.75,11,49,33,10,3,11,22,30,83,0.361,7,21,0.333,18,25,0.72,14,40,15,6,5,13,22
24,DET,2012-13,W,88,76,35,78,0.449,5,22,0.227,13,17,0.765,12,42,19,9,5,11,15,29,71,0.408,7,20,0.35,11,19,0.579,8,34,15,4,7,15,17
25,NOH,2012-13,W,93,77,37,74,0.5,4,20,0.2,15,19,0.789,9,37,28,8,7,12,21,29,75,0.387,2,19,0.105,17,22,0.773,14,42,15,3,5,20,18
26,SAC,2012-13,W,97,85,37,87,0.425,7,23,0.304,16,24,0.667,16,53,24,13,13,19,17,33,79,0.418,8,22,0.364,11,16,0.688,8,32,18,7,9,16,25
27,PHO,2012-13,W,103,77,38,71,0.535,11,21,0.524,16,29,0.552,5,44,26,12,7,16,19,29,80,0.363,3,17,0.176,16,24,0.667,12,41,18,10,2,14,21
28,DEN,2012-13,W,112,100,45,93,0.484,11,25,0.44,11,19,0.579,16,45,29,12,6,15,21,40,80,0.5,3,13,0.231,17,24,0.708,9,42,26,8,4,18,16
29,BOS,2012-13,W,106,77,41,85,0.482,12,30,0.4,12,24,0.5,10,44,31,12,7,8,18,29,72,0.403,6,16,0.375,13,15,0.867,7,40,20,5,3,18,23
30,UTA,2012-13,W,116,114,38,77,0.494,7,23,0.304,33,41,0.805,11,35,20,11,0,15,29,34,71,0.479,9,15,0.6,37,40,0.925,9,36,20,7,7,17,32
31,UTA,2012-13,W,107,96,39,78,0.5,8,18,0.444,21,29,0.724,9,41,25,10,10,12,26,33,80,0.413,5,13,0.385,25,34,0.735,10,38,29,9,6,16,24
32,DEN,2012-13,L,78,92,30,78,0.385,5,29,0.172,13,29,0.448,14,46,15,10,7,13,18,37,82,0.451,7,23,0.304,11,21,0.524,15,52,28,11,4,15,26
33,GSW,2012-13,L,94,115,29,80,0.363,8,29,0.276,28,39,0.718,11,38,24,14,4,14,18,42,84,0.5,12,23,0.522,19,22,0.864,13,53,29,11,4,20,27
34,LAL,2012-13,W,107,102,41,82,0.5,6,14,0.429,19,25,0.76,15,47,27,8,7,15,31,35,76,0.461,6,25,0.24,26,36,0.722,10,36,19,9,6,12,22
35,GSW,2012-13,W,115,89,47,90,0.522,10,28,0.357,11,15,0.733,9,41,29,12,4,7,21,32,72,0.444,5,20,0.25,20,26,0.769,5,30,19,4,8,16,17
36,DAL,2012-13,W,99,93,38,79,0.481,10,24,0.417,13,21,0.619,15,47,25,9,6,21,16,36,84,0.429,6,18,0.333,15,18,0.833,10,34,21,10,3,13,17
37,ORL,2012-13,L,101,104,43,88,0.489,9,22,0.409,6,6,1,9,35,32,8,6,9,15,39,81,0.481,11,25,0.44,15,19,0.789,10,41,28,6,1,13,12
38,MEM,2012-13,W,99,73,35,76,0.461,5,14,0.357,24,32,0.75,11,44,20,8,9,10,19,27,89,0.303,6,20,0.3,13,17,0.765,24,48,14,8,3,14,26
39,HOU,2012-13,W,117,109,42,78,0.538,11,19,0.579,22,26,0.846,10,35,21,7,2,16,21,41,82,0.5,13,37,0.351,14,25,0.56,12,34,25,10,1,15,23
40,MIN,2012-13,W,90,77,35,77,0.455,5,13,0.385,15,23,0.652,11,48,18,10,5,18,20,30,84,0.357,4,19,0.211,13,20,0.65,13,41,19,9,5,14,17
41,WAS,2012-13,W,94,87,34,93,0.366,5,21,0.238,21,31,0.677,22,58,18,9,9,11,23,32,77,0.416,8,20,0.4,15,27,0.556,11,43,21,8,6,18,24
42,GSW,2012-13,L,99,106,38,83,0.458,11,30,0.367,12,22,0.545,10,39,32,10,5,14,16,39,75,0.52,12,22,0.545,16,18,0.889,6,39,25,4,2,17,21
43,OKC,2012-13,L,97,109,39,84,0.464,4,16,0.25,15,21,0.714,12,35,15,8,7,10,17,41,78,0.526,15,27,0.556,12,14,0.857,10,37,24,6,4,16,26
44,PHO,2012-13,L,88,93,33,83,0.398,6,18,0.333,16,26,0.615,14,45,20,5,4,15,25,30,71,0.423,5,16,0.313,28,37,0.757,8,43,18,7,4,14,23
45,POR,2012-13,L,100,101,40,81,0.494,7,16,0.438,13,17,0.765,15,41,25,6,4,15,22,35,75,0.467,11,25,0.44,20,21,0.952,9,32,23,10,1,14,19
46,POR,2012-13,W,96,83,42,82,0.512,6,17,0.353,6,9,0.667,8,37,33,8,2,12,23,29,66,0.439,3,15,0.2,22,29,0.759,9,39,28,9,4,19,13
47,MIN,2012-13,W,96,90,35,76,0.461,3,9,0.333,23,36,0.639,14,45,16,11,4,15,18,33,76,0.434,5,19,0.263,19,27,0.704,8,38,20,9,3,13,25
48,TOR,2012-13,L,73,98,25,72,0.347,3,19,0.158,20,31,0.645,9,37,12,6,4,14,16,38,81,0.469,12,26,0.462,10,17,0.588,11,45,30,7,6,12,25
49,BOS,2012-13,L,104,106,40,79,0.506,9,21,0.429,15,21,0.714,13,41,27,9,2,20,26,36,72,0.5,11,18,0.611,23,27,0.852,6,29,23,8,2,17,22
50,WAS,2012-13,L,90,98,37,79,0.468,4,17,0.235,12,15,0.8,9,44,21,6,6,20,24,37,84,0.44,7,12,0.583,17,27,0.63,13,44,27,11,8,12,16
51,ORL,2012-13,W,86,76,33,82,0.402,6,18,0.333,14,22,0.636,13,48,17,16,6,14,16,30,87,0.345,6,20,0.3,10,14,0.714,14,50,16,6,5,18,20
52,MIA,2012-13,L,89,111,34,77,0.442,7,16,0.438,14,19,0.737,11,35,23,9,5,18,24,36,68,0.529,15,27,0.556,24,32,0.75,8,36,22,11,4,13,21
53,NYK,2012-13,W,102,88,41,80,0.513,10,28,0.357,10,16,0.625,13,43,21,10,6,14,19,33,74,0.446,7,23,0.304,15,18,0.833,10,35,11,10,3,16,18
54,PHI,2012-13,W,107,90,44,75,0.587,8,19,0.421,11,22,0.5,11,43,29,8,7,13,16,35,84,0.417,9,18,0.5,11,16,0.688,16,37,27,8,0,13,18
55,HOU,2012-13,W,106,96,37,75,0.493,13,32,0.406,19,26,0.731,6,37,28,12,6,18,19,36,82,0.439,5,24,0.208,19,22,0.864,13,41,18,10,2,21,23
56,LAL,2012-13,W,125,101,46,89,0.517,16,30,0.533,17,22,0.773,17,47,25,9,8,14,25,38,75,0.507,6,20,0.3,19,27,0.704,10,37,30,9,2,16,17
57,SAS,2012-13,L,90,116,32,76,0.421,5,16,0.313,21,25,0.84,13,33,21,5,1,18,22,43,73,0.589,8,17,0.471,22,28,0.786,8,34,30,7,6,17,20
58,UTA,2012-13,W,107,94,40,78,0.513,8,20,0.4,19,24,0.792,10,46,22,9,2,20,24,35,84,0.417,1,15,0.067,23,28,0.821,12,39,25,8,6,16,21
59,CHA,2012-13,W,106,84,41,76,0.539,12,22,0.545,12,26,0.462,9,43,34,11,10,15,17,33,81,0.407,6,16,0.375,12,14,0.857,7,37,17,9,4,16,21
60,IND,2012-13,W,99,91,39,80,0.488,4,23,0.174,17,21,0.81,9,36,18,8,6,11,26,32,75,0.427,9,25,0.36,18,25,0.72,14,40,18,6,4,20,22
61,CLE,2012-13,W,105,89,43,83,0.518,7,25,0.28,12,20,0.6,11,39,26,10,9,10,20,33,74,0.446,5,16,0.313,18,28,0.643,11,32,18,5,2,16,23
62,OKC,2012-13,L,104,108,38,82,0.463,9,24,0.375,19,22,0.864,13,41,22,9,2,20,26,38,80,0.475,7,21,0.333,25,34,0.735,14,38,23,12,5,13,22
63,MIL,2012-13,W,117,101,47,87,0.54,12,29,0.414,11,14,0.786,9,42,33,10,9,10,15,38,79,0.481,13,29,0.448,12,15,0.8,5,34,29,6,1,13,14
64,DEN,2012-13,L,92,107,36,85,0.424,7,22,0.318,13,16,0.813,10,36,21,5,3,11,17,43,77,0.558,11,23,0.478,10,12,0.833,7,38,33,7,10,11,17
65,DET,2012-13,W,129,97,50,80,0.625,14,28,0.5,15,25,0.6,6,35,37,13,4,9,28,30,64,0.469,11,23,0.478,26,42,0.619,9,28,25,5,4,14,21
66,MEM,2012-13,L,85,96,31,72,0.431,6,26,0.231,17,18,0.944,13,34,22,5,4,12,22,37,68,0.544,6,12,0.5,16,21,0.762,10,31,20,8,3,12,25
67,NYK,2012-13,W,93,80,34,75,0.453,8,28,0.286,17,31,0.548,12,51,20,5,8,12,18,29,81,0.358,12,26,0.462,10,14,0.714,7,39,21,7,1,9,27
68,SAC,2012-13,L,101,116,36,80,0.45,9,26,0.346,20,26,0.769,11,37,30,10,4,17,24,37,73,0.507,14,28,0.5,28,34,0.824,8,37,25,8,1,15,25
69,PHI,2012-13,W,101,72,41,78,0.526,6,20,0.3,13,19,0.684,8,44,24,13,3,14,16,29,79,0.367,6,20,0.3,8,10,0.8,10,37,22,6,4,19,19
70,BRK,2012-13,W,101,95,37,79,0.468,9,26,0.346,18,24,0.75,12,41,19,11,6,15,23,34,74,0.459,9,25,0.36,18,24,0.75,10,33,27,9,2,15,21
71,DAL,2012-13,L,102,109,38,85,0.447,10,33,0.303,16,25,0.64,11,44,19,6,4,17,24,40,82,0.488,6,23,0.261,23,27,0.852,8,42,23,12,7,15,21
72,NOH,2012-13,W,105,91,34,73,0.466,13,29,0.448,24,28,0.857,12,35,18,9,3,9,18,35,71,0.493,4,14,0.286,17,24,0.708,10,35,19,6,2,11,25
73,SAS,2012-13,L,102,104,41,81,0.506,8,19,0.421,12,21,0.571,12,38,26,8,4,9,23,39,74,0.527,6,15,0.4,20,21,0.952,6,32,29,3,5,9,20
74,HOU,2012-13,L,81,98,31,78,0.397,7,22,0.318,12,14,0.857,7,38,15,10,7,18,26,35,80,0.438,9,24,0.375,19,27,0.704,12,48,17,7,5,20,18
75,IND,2012-13,L,106,109,39,80,0.488,5,16,0.313,23,26,0.885,14,36,24,7,1,14,23,39,71,0.549,10,23,0.435,21,28,0.75,9,35,29,8,4,14,25
76,PHO,2012-13,W,126,101,52,93,0.559,9,21,0.429,13,18,0.722,13,37,39,14,5,6,23,35,77,0.455,7,17,0.412,24,25,0.96,11,41,23,3,3,19,16
77,LAL,2012-13,W,109,95,42,84,0.5,8,21,0.381,17,21,0.81,16,50,26,6,1,10,22,33,76,0.434,7,24,0.292,22,30,0.733,10,36,25,6,5,11,14
78,MIN,2012-13,W,111,95,44,77,0.571,11,21,0.524,12,16,0.75,10,48,34,8,11,20,19,35,90,0.389,6,23,0.261,19,22,0.864,13,38,23,12,4,9,14
79,NOH,2012-13,W,96,93,35,78,0.449,7,26,0.269,19,28,0.679,10,41,28,6,5,12,24,35,83,0.422,6,19,0.316,17,32,0.531,19,48,21,3,1,12,23
80,MEM,2012-13,W,91,87,37,80,0.463,6,16,0.375,11,18,0.611,12,45,18,9,8,7,20,34,83,0.41,6,13,0.462,13,20,0.65,12,43,19,6,5,10,20
81,POR,2012-13,W,93,77,37,79,0.468,7,27,0.259,12,15,0.8,14,51,30,10,4,14,12,30,73,0.411,7,21,0.333,10,15,0.667,5,33,18,6,0,14,16
82,SAC,2012-13,W,112,108,44,88,0.5,12,24,0.5,12,18,0.667,11,44,25,5,3,13,20,40,89,0.449,9,26,0.346,19,25,0.76,12,44,23,5,4,11,20
