Game,Opp,Year,Result,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,MEM,2012-13,W,101,92,38,74,0.514,5,15,0.333,20,29,0.69,8,39,25,12,9,22,27,33,86,0.384,2,14,0.143,24,30,0.8,17,44,24,14,4,18,25
2,LAL,2012-13,W,105,95,38,84,0.452,8,22,0.364,21,27,0.778,9,37,24,12,4,11,26,34,68,0.5,7,16,0.438,20,28,0.714,7,38,15,7,7,20,23
3,GSW,2012-13,L,110,114,30,70,0.429,10,21,0.476,40,52,0.769,7,33,21,6,5,16,31,41,84,0.488,4,16,0.25,28,39,0.718,16,48,22,7,2,13,34
4,CLE,2012-13,L,101,108,39,74,0.527,9,25,0.36,14,16,0.875,9,38,23,7,13,25,24,40,92,0.435,14,29,0.483,14,22,0.636,18,43,24,12,2,17,18
5,SAS,2012-13,W,106,84,46,83,0.554,6,17,0.353,8,9,0.889,9,46,30,13,8,15,19,30,73,0.411,8,23,0.348,16,24,0.667,6,29,25,7,4,20,11
6,POR,2012-13,W,103,90,41,77,0.532,3,13,0.231,18,25,0.72,10,44,20,9,3,13,22,32,75,0.427,7,20,0.35,19,30,0.633,9,31,19,10,4,13,22
7,ATL,2012-13,W,89,76,38,82,0.463,5,15,0.333,8,8,1,8,38,21,12,6,13,22,30,72,0.417,9,25,0.36,7,16,0.438,10,41,20,3,9,22,12
8,MIA,2012-13,W,107,100,35,72,0.486,10,21,0.476,27,32,0.844,9,38,22,11,8,18,25,35,77,0.455,9,21,0.429,21,29,0.724,11,36,22,11,6,19,25
9,CHI,2012-13,W,101,80,37,75,0.493,5,16,0.313,22,30,0.733,10,41,21,10,10,12,20,30,89,0.337,2,14,0.143,18,22,0.818,21,45,18,7,4,15,20
10,SAS,2012-13,W,92,87,40,85,0.471,1,12,0.083,11,19,0.579,17,52,13,7,7,17,20,29,82,0.354,6,20,0.3,23,28,0.821,13,42,16,7,3,13,19
11,OKC,2012-13,L,111,117,40,93,0.43,7,20,0.35,24,33,0.727,17,45,19,16,5,14,27,36,79,0.456,11,23,0.478,34,39,0.872,12,44,20,12,5,19,24
12,BRK,2012-13,L,76,86,29,72,0.403,4,17,0.235,14,22,0.636,17,45,15,8,7,18,22,34,73,0.466,5,13,0.385,13,19,0.684,11,35,19,6,3,15,22
13,ATL,2012-13,L,93,104,32,75,0.427,8,19,0.421,21,25,0.84,7,37,19,13,3,14,22,38,75,0.507,7,17,0.412,21,26,0.808,8,39,26,5,2,18,18
14,NOH,2012-13,L,98,105,37,79,0.468,18,37,0.486,6,11,0.545,8,32,26,11,5,14,26,36,71,0.507,15,25,0.6,18,23,0.783,7,36,23,6,3,15,19
15,MIN,2012-13,W,101,95,37,81,0.457,4,19,0.211,23,26,0.885,11,35,28,11,6,10,25,31,82,0.378,6,22,0.273,27,35,0.771,21,52,18,5,6,18,25
16,SAC,2012-13,W,116,81,47,86,0.547,12,24,0.5,10,16,0.625,8,41,27,12,6,5,15,29,76,0.382,9,23,0.391,14,18,0.778,10,40,23,2,3,17,19
17,UTA,2012-13,W,105,104,42,89,0.472,4,21,0.19,17,24,0.708,13,36,19,9,3,10,14,42,74,0.568,9,20,0.45,11,15,0.733,9,41,25,6,5,17,26
18,DAL,2012-13,W,112,90,45,90,0.5,6,20,0.3,16,21,0.762,12,49,30,18,6,17,17,34,84,0.405,5,19,0.263,17,19,0.895,11,41,20,8,6,22,18
19,PHO,2012-13,W,117,99,48,93,0.516,7,23,0.304,14,24,0.583,17,41,30,12,5,11,16,36,78,0.462,9,24,0.375,18,20,0.9,9,37,24,6,6,20,22
