Game,Opp,Year,Result,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,SAC,2015-16,W,111,104,42,80,0.525,6,19,0.316,21,31,0.677,6,42,20,8,9,15,19,41,94,0.436,11,24,0.458,11,18,0.611,12,49,24,8,3,16,27
2,DAL,2015-16,W,104,88,38,87,0.437,8,31,0.258,20,33,0.606,8,53,21,6,8,8,17,35,97,0.361,6,30,0.2,12,15,0.8,14,55,22,4,2,12,26
3,SAC,2015-16,W,114,109,39,76,0.513,4,17,0.235,32,46,0.696,6,41,25,4,9,17,22,43,101,0.426,6,18,0.333,17,25,0.68,19,49,20,9,2,13,34
4,PHO,2015-16,W,102,96,37,81,0.457,8,26,0.308,20,23,0.87,3,46,20,4,5,11,18,36,98,0.367,9,30,0.3,15,21,0.714,16,55,23,8,1,9,20
5,GSW,2015-16,L,108,112,43,88,0.489,8,22,0.364,14,22,0.636,10,41,24,6,4,11,26,39,85,0.459,10,26,0.385,24,31,0.774,9,42,28,6,5,12,22
6,HOU,2015-16,L,105,109,42,88,0.477,4,22,0.182,17,25,0.68,11,41,29,8,5,12,23,38,86,0.442,7,30,0.233,26,29,0.897,11,47,16,7,3,14,27
7,MEM,2015-16,W,94,92,28,68,0.412,5,19,0.263,33,37,0.892,8,40,14,5,8,18,20,35,80,0.438,2,11,0.182,20,29,0.69,10,40,21,11,3,14,28
8,DAL,2015-16,L,108,118,37,86,0.43,12,27,0.444,22,33,0.667,13,41,21,4,2,10,24,42,76,0.553,11,24,0.458,23,30,0.767,8,44,23,8,3,13,29
9,PHO,2015-16,L,104,118,40,90,0.444,9,26,0.346,15,28,0.536,12,37,17,13,3,14,17,44,83,0.53,14,30,0.467,16,21,0.762,9,46,22,10,3,19,23
10,DET,2015-16,W,101,96,37,79,0.468,7,19,0.368,20,26,0.769,11,42,23,6,4,13,23,33,74,0.446,7,27,0.259,23,35,0.657,11,42,15,8,2,15,23
11,GSW,2015-16,L,117,124,44,88,0.5,13,29,0.448,16,24,0.667,9,35,21,11,2,10,25,38,73,0.521,17,30,0.567,31,36,0.861,8,44,31,4,4,19,20
12,POR,2015-16,L,91,102,38,86,0.442,7,24,0.292,8,16,0.5,10,42,24,6,5,13,24,38,90,0.422,8,25,0.32,18,24,0.75,17,55,16,8,3,14,17
13,TOR,2015-16,L,80,91,29,74,0.392,7,32,0.219,15,20,0.75,12,42,21,9,9,19,30,29,78,0.372,4,17,0.235,29,31,0.935,14,46,15,8,0,14,19
14,DEN,2015-16,W,111,94,37,79,0.468,8,20,0.4,29,47,0.617,11,43,24,10,8,7,25,31,78,0.397,8,25,0.32,24,29,0.828,8,48,16,3,0,16,32
15,UTA,2015-16,L,91,102,38,75,0.507,4,12,0.333,11,17,0.647,11,35,18,11,7,19,22,39,77,0.506,6,13,0.462,18,25,0.72,11,39,19,12,4,16,20
16,NOP,2015-16,W,111,90,40,83,0.482,7,19,0.368,24,30,0.8,5,49,27,6,7,13,20,34,94,0.362,5,20,0.25,17,23,0.739,15,50,20,8,1,12,23
17,MIN,2015-16,W,107,99,39,75,0.52,8,22,0.364,21,33,0.636,7,39,24,3,5,13,21,37,82,0.451,8,16,0.5,17,21,0.81,7,39,21,7,3,13,27
18,POR,2015-16,W,102,87,33,85,0.388,8,19,0.421,28,56,0.5,18,55,26,7,5,10,22,33,87,0.379,5,23,0.217,16,27,0.593,13,54,18,6,2,18,38
19,IND,2015-16,L,91,103,30,79,0.38,6,27,0.222,25,39,0.641,10,40,19,4,2,15,31,32,76,0.421,7,20,0.35,32,39,0.821,9,47,16,7,6,14,26
20,ORL,2015-16,W,103,101,37,82,0.451,12,31,0.387,17,25,0.68,10,45,25,5,2,14,15,40,90,0.444,6,20,0.3,15,18,0.833,15,51,22,8,6,13,21
21,MIN,2015-16,W,110,106,38,86,0.442,8,25,0.32,26,29,0.897,13,43,21,10,9,17,26,36,82,0.439,7,18,0.389,27,35,0.771,11,46,18,10,3,18,29
22,MIL,2015-16,W,109,95,38,81,0.469,12,28,0.429,21,36,0.583,12,51,27,7,8,14,16,42,90,0.467,2,10,0.2,9,12,0.75,7,40,26,7,1,11,29
23,CHI,2015-16,L,80,83,30,88,0.341,10,22,0.455,10,12,0.833,15,52,22,4,4,13,15,31,87,0.356,7,23,0.304,14,16,0.875,13,54,20,8,6,11,12
