Game,Opp,Year,Result,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
24,BRK,2015-16,W,105,100,43,86,0.5,8,24,0.333,11,18,0.611,7,40,28,12,0,12,21,35,79,0.443,5,19,0.263,25,30,0.833,12,46,17,5,2,16,22
25,DET,2015-16,W,105,103,44,97,0.454,6,19,0.316,11,15,0.733,10,39,29,9,4,10,22,37,89,0.416,6,19,0.316,23,31,0.742,15,54,17,8,0,18,21
26,MIL,2015-16,W,103,90,36,75,0.48,11,21,0.524,20,24,0.833,10,40,25,7,4,14,10,38,88,0.432,5,16,0.313,9,11,0.818,15,41,21,9,6,11,21
27,SAS,2015-16,L,107,115,36,72,0.5,10,24,0.417,25,40,0.625,6,37,23,6,8,10,22,43,87,0.494,10,19,0.526,19,24,0.792,10,44,25,7,4,8,30
28,HOU,2015-16,L,97,107,34,86,0.395,11,38,0.289,18,29,0.621,7,38,21,10,6,12,36,34,76,0.447,8,25,0.32,31,49,0.633,13,55,22,7,7,15,29
29,OKC,2015-16,L,99,100,41,87,0.471,7,22,0.318,10,14,0.714,10,45,21,7,3,13,15,40,85,0.471,4,17,0.235,16,20,0.8,10,44,21,10,4,11,16
30,LAL,2015-16,W,94,84,38,85,0.447,10,26,0.385,8,11,0.727,8,45,22,10,3,16,20,32,77,0.416,7,23,0.304,13,25,0.52,6,40,17,10,2,15,13
31,UTA,2015-16,W,109,104,38,79,0.481,13,26,0.5,20,24,0.833,7,34,24,9,6,12,23,36,74,0.486,10,27,0.37,22,27,0.815,8,36,18,7,4,16,22
32,WAS,2015-16,W,108,91,41,78,0.526,7,23,0.304,19,25,0.76,3,37,23,11,4,16,18,34,87,0.391,7,24,0.292,16,24,0.667,13,45,19,10,3,16,18
33,CHO,2015-16,W,122,117,37,71,0.521,15,30,0.5,33,41,0.805,8,39,27,7,7,12,26,38,88,0.432,9,30,0.3,32,36,0.889,17,42,20,8,3,11,26
34,NOP,2015-16,W,95,89,35,90,0.389,10,34,0.294,15,19,0.789,13,47,24,8,6,12,14,36,82,0.439,7,25,0.28,10,15,0.667,5,42,21,6,3,15,22
35,PHI,2015-16,W,130,99,49,81,0.605,12,23,0.522,20,25,0.8,6,47,28,7,6,14,17,41,89,0.461,9,23,0.391,8,17,0.471,9,33,30,8,4,12,21
36,POR,2015-16,W,109,98,42,83,0.506,11,23,0.478,14,17,0.824,10,42,24,7,6,10,22,38,86,0.442,9,26,0.346,13,23,0.565,17,49,21,5,4,13,18
37,CHO,2015-16,W,97,83,40,91,0.44,8,31,0.258,9,10,0.9,13,47,19,6,9,9,19,31,84,0.369,7,23,0.304,14,19,0.737,11,47,14,4,3,15,16
38,NOP,2015-16,W,114,111,42,89,0.472,12,36,0.333,18,34,0.529,8,47,26,8,3,14,24,40,100,0.4,8,30,0.267,23,29,0.793,15,56,20,8,2,14,24
39,MIA,2015-16,W,104,90,40,94,0.426,11,25,0.44,13,16,0.813,10,43,26,18,5,7,25,31,70,0.443,9,24,0.375,19,29,0.655,5,49,26,5,7,23,16
40,SAC,2015-16,L,103,110,38,96,0.396,13,39,0.333,14,19,0.737,14,46,24,6,4,11,24,36,76,0.474,13,25,0.52,25,33,0.758,9,52,28,5,8,17,19
41,HOU,2015-16,W,140,132,47,91,0.516,22,37,0.595,24,33,0.727,9,41,28,10,6,12,30,44,88,0.5,11,32,0.344,33,52,0.635,16,52,31,8,5,14,28
42,CLE,2015-16,L,102,115,36,80,0.45,6,25,0.24,24,36,0.667,8,35,19,9,3,9,21,42,83,0.506,13,28,0.464,18,24,0.75,14,47,29,5,2,13,31
43,NYK,2015-16,W,116,88,43,76,0.566,13,23,0.565,17,24,0.708,3,36,27,10,3,9,17,33,85,0.388,4,18,0.222,18,20,0.9,12,42,24,5,2,17,22
44,TOR,2015-16,L,94,112,34,76,0.447,8,26,0.308,18,30,0.6,7,34,21,6,3,13,28,41,83,0.494,12,22,0.545,18,26,0.692,8,44,19,8,3,15,26
45,IND,2015-16,W,91,89,32,78,0.41,15,37,0.405,12,24,0.5,9,44,16,9,5,15,20,35,83,0.422,5,16,0.313,14,24,0.583,12,48,18,7,2,17,17
46,ATL,2015-16,W,85,83,33,85,0.388,5,27,0.185,14,21,0.667,9,46,18,16,5,11,14,33,79,0.418,10,23,0.435,7,14,0.5,8,49,21,6,3,22,17
47,LAL,2015-16,W,105,93,40,81,0.494,8,26,0.308,17,24,0.708,5,38,20,10,9,8,19,34,78,0.436,5,13,0.385,20,25,0.8,11,48,19,6,4,17,21
48,CHI,2015-16,W,120,93,45,84,0.536,17,32,0.531,13,19,0.684,7,46,26,8,6,11,15,40,93,0.43,5,15,0.333,8,11,0.727,11,42,19,2,4,9,20
49,MIN,2015-16,L,102,108,33,75,0.44,11,32,0.344,25,34,0.735,11,35,20,10,6,13,22,39,77,0.506,8,17,0.471,22,26,0.846,10,42,24,6,3,15,24
50,ORL,2015-16,W,107,93,40,74,0.541,8,27,0.296,19,23,0.826,6,44,15,13,8,22,23,34,81,0.42,4,20,0.2,21,28,0.75,11,39,19,6,1,18,20
51,MIA,2015-16,W,100,93,37,81,0.457,9,25,0.36,17,33,0.515,7,42,17,8,5,6,25,33,83,0.398,7,17,0.412,20,29,0.69,13,53,14,2,0,13,21
52,PHI,2015-16,W,98,92,35,95,0.368,5,22,0.227,23,31,0.742,14,52,21,12,4,12,22,34,90,0.378,6,25,0.24,18,21,0.857,11,54,20,7,5,20,31
53,BOS,2015-16,L,134,139,44,85,0.518,12,30,0.4,34,50,0.68,9,44,25,7,9,14,29,47,95,0.495,13,33,0.394,32,37,0.865,8,43,34,5,2,10,33
54,SAS,2015-16,W,105,86,39,78,0.5,12,25,0.48,15,20,0.75,8,45,23,8,7,18,20,35,83,0.422,4,17,0.235,12,15,0.8,5,33,19,11,2,15,16
55,GSW,2015-16,L,112,115,42,94,0.447,13,36,0.361,15,18,0.833,15,49,24,9,2,14,24,42,82,0.512,11,31,0.355,20,26,0.769,6,39,32,8,2,14,19
56,PHO,2015-16,W,124,84,44,80,0.55,13,24,0.542,23,35,0.657,10,53,29,9,10,16,20,31,88,0.352,7,24,0.292,15,20,0.75,10,41,20,8,2,16,27
57,DEN,2015-16,L,81,87,30,85,0.353,13,46,0.283,8,14,0.571,9,47,19,13,9,17,20,34,90,0.378,6,24,0.25,13,17,0.765,14,57,18,11,2,16,14
58,SAC,2015-16,W,117,107,43,89,0.483,9,29,0.31,22,26,0.846,11,41,18,6,4,8,27,34,78,0.436,12,24,0.5,27,37,0.73,13,44,19,6,3,16,23
59,BRK,2015-16,W,105,95,41,83,0.494,9,23,0.391,14,16,0.875,8,47,22,8,4,11,22,32,77,0.416,8,19,0.421,23,33,0.697,11,44,25,10,3,13,19
60,OKC,2015-16,W,103,98,40,98,0.408,9,32,0.281,14,21,0.667,12,45,26,11,3,6,13,39,98,0.398,10,35,0.286,10,11,0.909,18,63,22,3,8,17,21
61,ATL,2015-16,L,97,107,34,79,0.43,12,32,0.375,17,28,0.607,6,41,22,10,10,18,20,40,89,0.449,10,27,0.37,17,20,0.85,10,53,26,9,3,18,26
62,DAL,2015-16,W,109,90,39,83,0.47,12,32,0.375,19,29,0.655,6,48,18,10,7,9,25,30,81,0.37,4,25,0.16,26,32,0.813,12,51,15,5,1,15,19
63,OKC,2015-16,L,108,120,41,81,0.506,12,34,0.353,14,23,0.609,2,29,29,11,4,10,17,48,91,0.527,9,24,0.375,15,18,0.833,10,52,33,6,2,16,20
64,NYK,2015-16,W,101,94,38,85,0.447,13,29,0.448,12,16,0.75,10,44,23,8,9,13,22,34,83,0.41,4,20,0.2,22,25,0.88,14,48,23,7,3,14,20
65,CLE,2015-16,L,90,114,32,79,0.405,10,32,0.313,16,19,0.842,5,34,23,5,4,10,23,41,84,0.488,18,37,0.486,14,20,0.7,9,49,23,3,4,8,19
66,SAS,2015-16,L,87,108,32,69,0.464,8,19,0.421,15,22,0.682,5,27,15,5,4,13,17,44,82,0.537,8,20,0.4,12,16,0.75,12,42,25,6,4,10,21
67,HOU,2015-16,W,122,106,43,76,0.566,12,30,0.4,24,32,0.75,7,33,31,9,7,10,20,40,82,0.488,9,25,0.36,17,24,0.708,13,39,23,5,3,15,25
68,MEM,2015-16,L,102,113,31,66,0.47,12,30,0.4,28,39,0.718,4,30,18,8,8,14,27,40,82,0.488,4,15,0.267,29,36,0.806,18,44,23,9,5,13,28
69,NOP,2015-16,L,105,109,33,82,0.402,10,39,0.256,29,42,0.69,7,35,21,12,5,12,28,35,71,0.493,7,21,0.333,32,40,0.8,10,54,22,9,1,23,34
70,GSW,2015-16,L,98,114,36,85,0.424,8,28,0.286,18,27,0.667,8,46,21,8,7,10,22,39,87,0.448,15,34,0.441,21,28,0.75,11,50,23,9,5,12,20
71,POR,2015-16,W,96,94,37,82,0.451,4,19,0.211,18,28,0.643,11,47,21,9,5,16,29,32,80,0.4,6,24,0.25,24,32,0.75,9,41,18,10,5,15,25
72,DEN,2015-16,W,105,90,38,80,0.475,10,28,0.357,19,26,0.731,17,44,24,13,11,14,19,37,94,0.394,7,29,0.241,9,13,0.692,20,44,24,7,5,15,19
73,BOS,2015-16,W,114,90,44,84,0.524,11,25,0.44,15,18,0.833,9,45,29,13,5,14,23,31,89,0.348,7,19,0.368,21,27,0.778,18,49,14,7,4,16,17
74,MIN,2015-16,W,99,79,37,84,0.44,9,31,0.29,16,18,0.889,7,41,26,8,9,7,17,30,87,0.345,8,23,0.348,11,17,0.647,14,53,20,2,1,16,15
75,OKC,2015-16,L,117,119,42,76,0.553,16,29,0.552,17,22,0.773,5,26,22,9,4,12,17,45,87,0.517,10,32,0.313,19,24,0.792,17,46,25,10,1,14,13
76,WAS,2015-16,W,114,109,43,85,0.506,8,19,0.421,20,33,0.606,10,44,27,9,4,11,17,43,94,0.457,11,30,0.367,12,21,0.571,17,51,31,8,1,14,29
77,LAL,2015-16,W,103,81,40,78,0.513,7,20,0.35,16,26,0.615,6,46,26,11,4,13,17,26,83,0.313,6,20,0.3,23,25,0.92,14,43,11,10,3,15,23
78,LAL,2015-16,W,91,81,37,83,0.446,7,25,0.28,10,14,0.714,10,49,23,10,6,10,17,32,90,0.356,4,19,0.211,13,17,0.765,16,49,12,6,1,12,16
79,UTA,2015-16,W,102,99,37,83,0.446,13,29,0.448,15,19,0.789,8,44,16,13,3,11,20,36,82,0.439,11,31,0.355,16,23,0.696,9,47,14,7,6,18,15
80,DAL,2015-16,W,98,91,37,76,0.487,9,18,0.5,15,37,0.405,6,42,25,11,6,10,20,30,74,0.405,8,30,0.267,23,33,0.697,5,47,18,6,5,14,29
81,MEM,2015-16,W,110,84,41,75,0.547,12,25,0.48,16,21,0.762,8,41,29,11,7,9,19,35,86,0.407,5,20,0.25,9,14,0.643,13,38,16,5,1,16,18
82,PHO,2015-16,L,105,114,43,96,0.448,9,31,0.29,10,12,0.833,6,40,23,9,6,15,20,45,99,0.455,7,26,0.269,17,22,0.773,18,58,26,10,5,16,15
