Game,Opp,Year,Result,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,LAL,2013-14,L,103,116,41,83,0.494,8,21,0.381,13,23,0.565,10,40,27,11,4,16,21,42,93,0.452,14,29,0.483,18,28,0.643,18,52,23,8,6,19,23
2,GSW,2013-14,W,126,115,42,85,0.494,9,28,0.321,33,50,0.66,16,44,27,15,4,18,30,40,76,0.526,12,21,0.571,23,33,0.697,10,33,26,7,2,24,35
3,SAC,2013-14,W,110,101,35,70,0.5,12,24,0.5,28,34,0.824,10,39,26,4,5,15,29,36,79,0.456,6,17,0.353,23,32,0.719,10,35,21,7,5,9,27
4,HOU,2013-14,W,137,118,49,94,0.521,15,38,0.395,24,28,0.857,9,38,33,7,7,10,29,41,82,0.5,7,25,0.28,29,43,0.674,13,46,21,7,3,15,22
5,ORL,2013-14,L,90,98,36,95,0.379,3,19,0.158,15,21,0.714,15,51,20,9,5,13,19,40,82,0.488,5,16,0.313,13,17,0.765,7,51,21,7,4,15,17
6,MIA,2013-14,L,97,102,36,73,0.493,8,24,0.333,17,21,0.81,9,38,22,8,1,17,30,38,71,0.535,5,16,0.313,21,33,0.636,8,30,27,6,3,16,23
7,HOU,2013-14,W,107,94,42,88,0.477,9,24,0.375,14,23,0.609,15,45,26,10,7,13,28,35,78,0.449,7,26,0.269,17,27,0.63,10,42,21,10,5,18,23
8,MIN,2013-14,W,109,107,44,80,0.55,4,16,0.25,17,28,0.607,6,43,30,9,2,14,17,40,96,0.417,11,29,0.379,16,18,0.889,16,45,27,7,2,12,25
9,OKC,2013-14,W,111,103,39,86,0.453,6,28,0.214,27,34,0.794,18,50,30,15,4,22,23,35,75,0.467,6,16,0.375,27,33,0.818,8,35,27,12,3,22,29
10,BRK,2013-14,W,110,103,40,77,0.519,10,23,0.435,20,30,0.667,13,51,23,6,7,17,21,36,85,0.424,9,23,0.391,22,33,0.667,16,39,24,7,1,11,26
11,MEM,2013-14,L,102,106,34,86,0.395,7,23,0.304,27,32,0.844,16,45,20,7,4,11,25,39,81,0.481,5,12,0.417,23,30,0.767,11,47,23,7,5,9,23
12,MIN,2013-14,W,102,98,40,81,0.494,12,24,0.5,10,16,0.625,6,43,24,8,5,19,25,34,90,0.378,5,22,0.227,25,31,0.806,10,45,24,10,2,14,17
13,OKC,2013-14,L,91,105,38,92,0.413,8,28,0.286,7,15,0.467,10,41,26,9,2,10,20,41,79,0.519,4,19,0.211,19,29,0.655,9,49,25,7,7,17,17
14,SAC,2013-14,W,103,102,33,68,0.485,11,25,0.44,26,45,0.578,5,39,22,5,5,17,26,37,88,0.42,5,17,0.294,23,30,0.767,11,46,26,8,4,10,33
15,CHI,2013-14,W,121,82,48,82,0.585,8,21,0.381,17,19,0.895,6,44,32,8,5,9,23,32,81,0.395,4,12,0.333,14,23,0.609,11,39,24,2,1,14,18
16,NYK,2013-14,W,93,80,32,74,0.432,6,25,0.24,23,31,0.742,7,42,17,8,2,13,17,32,83,0.386,3,20,0.15,13,15,0.867,12,44,20,6,6,14,27
17,SAC,2013-14,W,104,98,37,83,0.446,6,20,0.3,24,37,0.649,13,46,20,4,9,12,16,42,91,0.462,6,23,0.261,8,10,0.8,12,44,24,4,5,15,33
18,IND,2013-14,L,100,105,36,82,0.439,4,15,0.267,24,31,0.774,12,41,19,8,2,11,23,39,89,0.438,8,26,0.308,19,26,0.731,17,50,25,5,4,16,25
19,ATL,2013-14,L,97,107,39,83,0.47,4,19,0.211,15,20,0.75,7,36,22,4,2,12,16,42,82,0.512,12,23,0.522,11,16,0.688,8,40,28,4,4,11,22
20,MEM,2013-14,W,101,81,38,80,0.475,11,20,0.55,14,18,0.778,10,40,22,6,5,15,24,29,77,0.377,3,13,0.231,20,26,0.769,11,38,16,8,1,16,19
21,CLE,2013-14,L,82,88,28,87,0.322,7,35,0.2,19,26,0.731,10,45,24,9,7,13,21,31,83,0.373,4,14,0.286,22,30,0.733,16,60,18,5,3,15,21
22,PHI,2013-14,W,94,83,35,82,0.427,5,27,0.185,19,29,0.655,9,49,20,10,4,12,22,33,92,0.359,3,21,0.143,14,19,0.737,14,50,26,7,0,16,26
23,BOS,2013-14,W,96,88,34,76,0.447,6,17,0.353,22,34,0.647,8,37,20,9,6,13,17,33,80,0.413,6,17,0.353,16,19,0.842,8,40,20,5,5,16,23
24,BRK,2013-14,L,93,102,26,70,0.371,6,24,0.25,35,52,0.673,9,43,15,6,1,14,20,33,74,0.446,8,20,0.4,28,30,0.933,5,42,18,5,0,13,31
25,WAS,2013-14,W,113,97,39,69,0.565,9,21,0.429,26,31,0.839,5,34,27,9,3,10,20,40,81,0.494,3,14,0.214,14,20,0.7,9,33,21,6,3,13,26
26,SAS,2013-14,W,115,92,39,76,0.513,11,23,0.478,26,35,0.743,9,43,19,12,4,18,20,37,76,0.487,6,18,0.333,12,21,0.571,9,36,20,8,3,22,27
27,NOP,2013-14,W,108,95,33,78,0.423,11,29,0.379,31,36,0.861,11,49,25,4,8,9,16,37,93,0.398,7,20,0.35,14,20,0.7,18,55,26,6,1,11,22
28,DEN,2013-14,W,112,91,39,86,0.453,13,33,0.394,21,31,0.677,11,46,26,9,8,17,20,31,88,0.352,6,30,0.2,23,29,0.793,15,50,16,12,3,18,26
29,MIN,2013-14,W,120,116,46,97,0.474,7,29,0.241,21,27,0.778,16,45,24,14,1,13,23,45,96,0.469,6,22,0.273,20,27,0.741,19,54,27,4,3,19,23
30,GSW,2013-14,L,103,105,40,81,0.494,4,18,0.222,19,23,0.826,6,38,22,6,9,13,24,40,95,0.421,10,24,0.417,15,22,0.682,16,49,27,8,4,13,22
31,POR,2013-14,L,112,116,49,110,0.445,8,20,0.4,6,12,0.5,12,48,24,11,5,5,22,42,96,0.438,13,36,0.361,19,22,0.864,15,60,29,2,2,16,10
32,UTA,2013-14,W,98,90,35,77,0.455,3,14,0.214,25,32,0.781,7,41,20,14,4,13,16,32,76,0.421,7,19,0.368,19,21,0.905,8,45,24,9,4,19,27
33,PHO,2013-14,L,88,107,31,85,0.365,7,20,0.35,19,26,0.731,14,48,17,8,4,20,23,41,85,0.482,12,31,0.387,13,22,0.591,10,45,26,17,9,16,20
34,CHA,2013-14,W,112,85,47,85,0.553,11,34,0.324,7,10,0.7,8,44,36,9,3,13,20,29,76,0.382,6,21,0.286,21,22,0.955,7,38,19,7,1,16,13
35,DAL,2013-14,W,119,112,40,82,0.488,9,23,0.391,30,38,0.789,13,46,21,5,4,10,16,45,88,0.511,12,28,0.429,10,14,0.714,11,39,29,8,1,11,25
36,SAS,2013-14,L,92,116,37,79,0.468,3,15,0.2,15,21,0.714,7,33,21,6,3,15,24,50,90,0.556,4,18,0.222,12,16,0.75,11,42,34,5,4,12,20
37,ORL,2013-14,W,101,81,35,83,0.422,11,31,0.355,20,24,0.833,13,51,30,9,10,14,17,30,84,0.357,7,19,0.368,14,21,0.667,15,50,15,8,1,17,20
38,BOS,2013-14,W,111,105,36,79,0.456,11,30,0.367,28,39,0.718,7,37,26,11,4,13,23,39,83,0.47,5,17,0.294,22,30,0.733,10,45,25,7,1,18,30
39,LAL,2013-14,W,123,87,45,92,0.489,7,23,0.304,26,35,0.743,13,56,24,16,13,8,23,29,84,0.345,4,16,0.25,25,28,0.893,11,47,18,2,1,21,26
