Game,Opp,Year,Result,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
35,DEN,2010-2011,W,106,93,39,91,0.429,10,27,0.37,18,27,0.667,19,57,23,5,9,12,23,30,80,0.375,8,19,0.421,25,31,0.806,10,43,16,7,2,14,24
36,GSW,2010-2011,W,105,91,34,86,0.395,4,17,0.235,33,43,0.767,16,52,21,13,7,16,20,32,82,0.39,7,22,0.318,20,28,0.714,12,44,20,12,6,19,32
37,MIA,2010-2011,W,111,105,42,84,0.5,6,16,0.375,21,34,0.618,9,42,33,6,8,10,18,37,88,0.42,8,27,0.296,23,30,0.767,13,46,22,3,5,7,21
38,GSW,2010-2011,L,112,122,45,85,0.529,3,14,0.214,19,26,0.731,12,41,23,8,2,15,21,43,82,0.524,14,26,0.538,22,24,0.917,7,35,29,9,3,14,22
39,LAL,2010-2011,W,99,92,38,87,0.437,9,21,0.429,14,23,0.609,15,50,28,9,5,11,23,31,75,0.413,3,20,0.15,27,33,0.818,11,45,12,7,8,12,23
40,IND,2010-2011,W,114,107,44,81,0.543,7,16,0.438,19,26,0.731,7,36,29,5,3,16,21,34,74,0.459,11,25,0.44,28,31,0.903,7,34,24,10,6,14,24
41,MIN,2010-2011,W,126,111,44,89,0.494,12,21,0.571,26,36,0.722,22,48,26,9,4,23,24,41,82,0.5,1,16,0.063,28,33,0.848,12,33,23,15,8,19,24
42,POR,2010-2011,L,93,108,35,81,0.432,9,26,0.346,14,21,0.667,15,42,18,4,3,15,17,44,78,0.564,7,16,0.438,13,19,0.684,8,37,21,8,5,7,20
43,GSW,2010-2011,W,113,109,37,85,0.435,7,33,0.212,32,40,0.8,18,48,28,4,8,12,24,39,85,0.459,9,27,0.333,22,27,0.815,13,42,23,6,2,11,29
44,DAL,2010-2011,L,105,112,39,70,0.557,10,20,0.5,17,28,0.607,11,34,22,6,2,22,22,37,74,0.5,10,24,0.417,28,30,0.933,11,30,18,5,4,14,24
45,HOU,2010-2011,L,83,96,32,88,0.364,3,18,0.167,16,22,0.727,15,44,13,8,7,14,20,36,87,0.414,7,25,0.28,17,20,0.85,10,50,22,6,6,11,18
46,CHA,2010-2011,W,103,88,37,86,0.43,11,29,0.379,18,24,0.75,11,35,26,10,5,6,26,29,72,0.403,3,13,0.231,27,36,0.75,14,49,20,2,5,17,22
47,MIL,2010-2011,W,105,98,39,75,0.52,2,13,0.154,25,27,0.926,12,34,24,8,7,15,21,37,75,0.493,5,18,0.278,19,24,0.792,10,33,25,9,1,15,29
48,CHI,2010-2011,L,88,106,36,77,0.468,5,15,0.333,11,21,0.524,10,30,20,2,5,11,16,40,78,0.513,12,26,0.462,14,20,0.7,11,41,27,6,5,11,23
49,ATL,2010-2011,L,100,101,38,75,0.507,6,18,0.333,18,28,0.643,11,44,22,6,5,15,15,41,94,0.436,7,27,0.259,12,13,0.923,16,44,25,8,3,10,19
50,MIA,2010-2011,L,79,97,25,77,0.325,6,24,0.25,23,33,0.697,11,44,12,8,2,19,21,34,77,0.442,10,28,0.357,19,28,0.679,10,44,19,9,7,13,24
51,ORL,2010-2011,L,85,101,31,79,0.392,5,16,0.313,18,22,0.818,10,37,18,12,3,16,25,35,81,0.432,10,30,0.333,21,34,0.618,17,49,22,9,1,16,18
52,NYK,2010-2011,W,116,108,47,86,0.547,9,17,0.529,13,16,0.813,12,38,28,7,1,15,17,40,81,0.494,6,26,0.231,22,23,0.957,12,34,21,8,4,15,16
53,CLE,2010-2011,L,119,126,43,96,0.448,8,23,0.348,25,32,0.781,17,45,20,8,4,10,25,46,92,0.5,8,20,0.4,26,32,0.813,12,43,34,7,6,15,24
54,TOR,2010-2011,L,93,98,32,77,0.416,5,14,0.357,24,34,0.706,9,42,15,7,1,12,23,35,82,0.427,2,13,0.154,26,32,0.813,14,39,16,7,7,12,27
55,MIL,2010-2011,L,78,102,26,70,0.371,4,17,0.235,22,27,0.815,9,34,15,6,1,17,24,35,68,0.515,11,26,0.423,21,30,0.7,7,33,25,7,3,11,21
56,MIN,2010-2011,W,98,90,36,79,0.456,6,26,0.231,20,31,0.645,11,45,25,9,9,13,24,29,82,0.354,7,24,0.292,25,36,0.694,17,49,16,7,2,16,23
57,OKC,2010-2011,L,88,111,33,72,0.458,5,11,0.455,17,29,0.586,5,33,20,3,3,15,22,37,78,0.474,9,22,0.409,28,32,0.875,7,35,18,9,3,6,23
58,NOH,2010-2011,L,87,98,33,70,0.471,7,15,0.467,14,21,0.667,5,32,23,3,3,21,16,40,78,0.513,3,11,0.273,15,21,0.714,6,36,26,7,2,13,23
59,LAL,2010-2011,L,95,108,31,82,0.378,10,25,0.4,23,25,0.92,13,45,24,3,8,11,13,43,85,0.506,8,16,0.5,14,16,0.875,8,39,33,6,3,6,18
60,BOS,2010-2011,L,92,99,35,76,0.461,5,18,0.278,17,21,0.81,10,36,25,11,7,17,24,30,73,0.411,4,9,0.444,35,41,0.854,14,43,21,11,3,16,16
61,SAC,2010-2011,L,99,105,37,81,0.457,6,17,0.353,19,27,0.704,9,39,20,14,3,20,27,38,80,0.475,5,18,0.278,24,35,0.686,11,49,14,11,4,19,22
62,HOU,2010-2011,W,106,103,41,85,0.482,2,9,0.222,22,27,0.815,12,51,29,4,6,11,16,38,91,0.418,13,31,0.419,14,19,0.737,9,39,29,4,2,7,19
63,DEN,2010-2011,W,100,94,35,74,0.473,8,19,0.421,22,27,0.815,6,37,25,11,11,19,16,40,102,0.392,3,14,0.214,11,18,0.611,24,56,21,6,4,16,23
64,CHA,2010-2011,W,92,87,31,74,0.419,7,18,0.389,23,29,0.793,6,39,18,11,3,12,19,35,78,0.449,4,9,0.444,13,22,0.591,7,37,22,6,4,13,18
65,BOS,2010-2011,W,108,103,39,75,0.52,9,20,0.45,21,26,0.808,8,39,28,4,5,15,18,37,84,0.44,6,17,0.353,23,27,0.852,11,38,21,10,3,9,17
66,NJN,2010-2011,L,98,102,41,91,0.451,4,17,0.235,12,20,0.6,11,45,22,13,5,15,19,42,88,0.477,8,22,0.364,10,16,0.625,10,45,21,5,4,17,17
67,WAS,2010-2011,W,122,101,43,83,0.518,5,14,0.357,31,43,0.721,13,50,24,4,4,11,24,37,89,0.416,3,16,0.188,24,29,0.828,10,38,16,7,2,10,27
68,MEM,2010-2011,L,82,105,32,80,0.4,4,17,0.235,14,19,0.737,13,36,12,4,5,19,16,45,84,0.536,6,12,0.5,9,13,0.692,10,44,23,14,8,14,21
69,PHI,2010-2011,L,94,104,36,79,0.456,4,13,0.308,18,34,0.529,8,44,19,5,8,17,19,38,84,0.452,8,17,0.471,20,24,0.833,9,46,28,5,7,11,26
70,CLE,2010-2011,W,100,92,37,77,0.481,9,17,0.529,17,18,0.944,6,34,25,4,5,15,16,36,75,0.48,3,15,0.2,17,20,0.85,7,37,20,6,3,14,20
71,PHO,2010-2011,L,99,108,38,84,0.452,9,20,0.45,14,17,0.824,7,38,24,7,4,10,20,41,84,0.488,10,22,0.455,16,19,0.842,9,38,24,4,5,8,15
72,WAS,2010-2011,W,127,119,46,93,0.495,9,26,0.346,26,33,0.788,13,45,36,7,7,25,26,49,102,0.48,3,13,0.231,18,25,0.72,16,43,29,12,6,18,29
73,LAL,2010-2011,L,104,112,42,84,0.5,5,17,0.294,15,18,0.833,8,34,23,6,5,16,23,39,78,0.5,6,18,0.333,28,39,0.718,11,41,19,9,8,14,18
74,TOR,2010-2011,W,94,90,39,84,0.464,1,9,0.111,15,23,0.652,14,51,22,8,11,18,20,33,85,0.388,4,15,0.267,20,29,0.69,14,40,19,13,5,13,22
75,DAL,2010-2011,L,100,106,35,75,0.467,5,24,0.208,25,31,0.806,11,47,22,5,5,17,21,41,85,0.482,9,21,0.429,15,26,0.577,6,31,30,11,5,11,19
76,PHO,2010-2011,L,98,111,36,81,0.444,11,27,0.407,15,26,0.577,12,44,14,8,1,21,27,41,79,0.519,5,14,0.357,24,33,0.727,10,40,22,10,5,13,21
77,OKC,2010-2011,W,98,92,33,74,0.446,5,13,0.385,27,38,0.711,13,47,17,6,3,17,19,34,82,0.415,4,14,0.286,20,24,0.833,16,45,18,11,7,16,29
78,MEM,2010-2011,W,82,81,32,78,0.41,4,14,0.286,14,22,0.636,10,46,14,8,3,18,19,34,86,0.395,1,9,0.111,12,18,0.667,14,47,11,14,7,14,19
79,OKC,2010-2011,L,108,112,42,83,0.506,6,13,0.462,18,26,0.692,13,44,24,7,8,15,19,41,95,0.432,5,19,0.263,25,29,0.862,19,48,23,8,5,12,23
80,DAL,2010-2011,L,96,107,38,76,0.5,6,18,0.333,14,20,0.7,9,36,22,12,6,21,23,43,85,0.506,4,15,0.267,17,28,0.607,15,42,25,13,4,17,19
81,HOU,2010-2011,L,78,99,33,95,0.347,7,18,0.389,5,10,0.5,17,45,18,9,5,9,16,38,81,0.469,10,24,0.417,13,18,0.722,16,58,29,5,11,14,17
82,MEM,2010-2011,W,110,103,44,81,0.543,3,15,0.2,19,27,0.704,12,37,36,16,7,17,26,36,84,0.429,7,15,0.467,24,28,0.857,13,39,25,8,4,21,24
