Game,Opp,Year,Result,TmScore,OppScore,FG,FGA,FGPCT,3P,3PA,3PPCT,FT,FTA,FTPCT,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,SAS,2009-2010,L,96,113,39,78,0.5,5,10,0.5,13,22,0.591,5,33,17,5,4,10,19,45,86,0.523,9,24,0.375,14,20,0.7,11,42,29,4,0,10,22
2,SAC,2009-2010,W,97,92,33,73,0.452,5,16,0.313,26,32,0.813,10,43,16,6,9,11,21,36,96,0.375,7,24,0.292,13,20,0.65,21,52,21,7,3,10,24
3,BOS,2009-2010,L,87,97,34,81,0.42,13,28,0.464,6,8,0.75,5,33,22,8,4,16,24,41,76,0.539,6,15,0.4,9,14,0.643,4,36,27,6,2,15,17
4,NYK,2009-2010,L,111,117,42,86,0.488,10,26,0.385,17,19,0.895,7,40,24,3,4,11,21,43,93,0.462,7,23,0.304,24,28,0.857,12,44,24,6,3,9,20
5,DAL,2009-2010,W,114,107,46,92,0.5,8,20,0.4,14,17,0.824,14,44,24,11,5,13,26,39,85,0.459,11,26,0.423,18,24,0.75,12,40,19,4,6,17,25
6,TOR,2009-2010,L,90,107,36,75,0.48,6,20,0.3,12,19,0.632,8,34,24,6,1,14,21,39,77,0.506,14,29,0.483,15,23,0.652,9,39,23,6,4,10,25
7,LAL,2009-2010,L,88,104,31,85,0.365,7,22,0.318,19,23,0.826,15,43,23,8,2,12,23,38,81,0.469,12,27,0.444,16,18,0.889,8,45,27,5,7,12,22
8,LAC,2009-2010,W,112,84,43,86,0.5,10,27,0.37,16,20,0.8,11,45,24,12,3,14,14,34,79,0.43,5,18,0.278,11,20,0.55,11,36,27,7,11,17,22
9,PHO,2009-2010,L,104,124,38,85,0.447,8,19,0.421,20,25,0.8,10,29,17,8,3,10,22,46,83,0.554,13,26,0.5,19,24,0.792,15,45,30,3,5,17,23
10,POR,2009-2010,L,78,86,29,79,0.367,3,14,0.214,17,22,0.773,9,40,17,6,5,9,23,33,87,0.379,2,13,0.154,18,26,0.692,20,60,14,3,7,12,20
11,ATL,2009-2010,L,98,121,40,91,0.44,7,27,0.259,11,18,0.611,14,41,25,7,3,16,22,48,88,0.545,7,20,0.35,18,29,0.621,17,48,27,10,3,14,19
