Rank,Player,AST
234,Freddie Lewis,2979
235,*Marc Gasol*,2979
236,Anthony Mason,2963
237,Tom Gola*,2962
238,Kendall Gill,2945
239,Howard Komives,2941
240,Antonio Daniels,2934
241,Bob Weiss,2931
242,Steve Smith,2922
243,Vernon Maxwell,2912
244,*Al Horford*,2912
245,Dave Cowens*,2910
246,Gilbert Arenas,2909
247,K.C. Jones*,2908
248,Dan Issel*,2907
249,Carl Braun*,2892
300,Brent Barry,2892
