Game,Opp,Year,Result,TmScore,OppScore,FG,FGA,FGPCT,3P,3PA,3PPCT,FT,FTA,FTPCT,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,SAC,2005-2006,W,93,67,35,73,0.479,4,11,0.364,19,22,0.864,6,52,21,7,4,20,21,25,80,0.313,3,13,0.231,14,19,0.737,10,36,13,8,5,18,25
2,CLE,2005-2006,L,87,109,32,78,0.41,4,12,0.333,19,25,0.76,10,33,17,8,6,12,24,37,69,0.536,13,21,0.619,22,30,0.733,9,43,22,8,3,16,27
3,HOU,2005-2006,W,91,84,32,81,0.395,3,15,0.2,24,32,0.75,13,43,23,11,3,8,22,26,74,0.351,7,22,0.318,25,28,0.893,11,47,17,3,8,17,29
4,ORL,2005-2006,L,83,88,34,77,0.442,0,8,0,15,18,0.833,8,33,15,11,3,13,25,28,63,0.444,4,6,0.667,28,33,0.848,10,43,15,2,3,20,24
5,DAL,2005-2006,L,103,109,39,70,0.557,4,11,0.364,21,25,0.84,8,36,21,4,2,15,27,38,74,0.514,8,19,0.421,25,30,0.833,10,29,18,8,0,11,23
6,MIA,2005-2006,L,102,109,41,93,0.441,4,15,0.267,16,25,0.64,18,54,21,7,2,13,23,37,84,0.44,11,26,0.423,24,28,0.857,8,40,23,6,6,11,20
7,DEN,2005-2006,L,81,91,29,79,0.367,0,13,0,23,34,0.676,14,46,17,8,1,20,27,35,73,0.479,1,6,0.167,20,27,0.741,6,44,18,13,4,16,28
8,ATL,2005-2006,W,95,92,33,83,0.398,8,16,0.5,21,32,0.656,17,43,20,13,4,16,24,35,74,0.473,7,16,0.438,15,24,0.625,11,41,10,11,7,22,29
9,ORL,2005-2006,W,98,95,35,64,0.547,3,6,0.5,25,38,0.658,10,34,17,5,3,13,23,37,73,0.507,6,16,0.375,15,22,0.682,7,31,20,4,3,15,27
10,PHI,2005-2006,L,91,103,31,78,0.397,2,13,0.154,27,36,0.75,14,38,24,10,2,13,20,38,79,0.481,6,15,0.4,21,26,0.808,17,50,25,5,3,17,25
11,MIN,2005-2006,W,84,80,29,80,0.363,2,15,0.133,24,29,0.828,14,49,14,6,1,8,15,29,74,0.392,5,15,0.333,17,22,0.773,8,38,14,5,5,12,26
12,SEA,2005-2006,W,105,99,33,71,0.465,5,10,0.5,34,41,0.829,12,39,19,6,2,17,24,39,93,0.419,9,31,0.29,12,18,0.667,14,36,22,8,7,11,30
13,GSW,2005-2006,L,83,99,31,74,0.419,2,11,0.182,19,26,0.731,11,42,19,6,2,17,21,39,88,0.443,7,22,0.318,14,17,0.824,18,47,21,10,3,13,26
14,DEN,2005-2006,W,102,95,36,86,0.419,6,9,0.667,24,29,0.828,12,46,22,7,7,9,16,38,87,0.437,5,11,0.455,14,20,0.7,12,47,23,6,12,10,23
15,PHI,2005-2006,W,88,86,32,74,0.432,3,14,0.214,21,31,0.677,12,44,19,6,6,14,18,32,78,0.41,4,16,0.25,18,24,0.75,13,39,14,6,7,10,25
16,DAL,2005-2006,L,88,97,33,75,0.44,2,8,0.25,20,26,0.769,8,32,12,5,5,14,26,36,74,0.486,4,8,0.5,21,26,0.808,11,43,18,7,9,15,27
17,MEM,2005-2006,L,73,89,31,80,0.388,2,11,0.182,9,17,0.529,12,38,17,6,2,12,26,30,66,0.455,6,17,0.353,23,31,0.742,7,41,15,5,9,9,22
