Game,Opp,W/L,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,LAL,W,108,92,42,107,0.393,12,33,0.364,12,13,0.923,17,59,23,12,3,14,20,37,91,0.407,4,16,0.25,14,23,0.609,12,52,21,8,7,19,15
2,PHO,W,130,88,48,88,0.545,12,26,0.462,22,30,0.733,10,52,26,12,2,12,32,27,71,0.38,6,24,0.25,28,38,0.737,4,36,19,8,3,19,27
3,UTA,W,102,84,39,83,0.47,10,29,0.345,14,21,0.667,11,44,21,12,4,13,16,34,79,0.43,7,28,0.25,9,11,0.818,8,41,20,7,7,18,23
4,POR,W,104,103,36,77,0.468,9,28,0.321,23,36,0.639,14,46,11,4,5,11,19,35,89,0.393,14,31,0.452,19,22,0.864,16,44,19,5,4,9,26
5,DET,L,87,95,28,84,0.333,15,38,0.395,16,22,0.727,15,51,19,6,6,18,18,36,88,0.409,9,28,0.321,14,21,0.667,12,50,16,11,6,12,20
6,GSW,L,113,141,39,86,0.453,10,25,0.4,25,30,0.833,9,35,21,4,3,12,20,52,89,0.584,14,29,0.483,23,30,0.767,14,46,37,8,8,12,23
7,DAL,W,119,98,41,78,0.526,13,28,0.464,24,29,0.828,7,49,27,9,5,16,20,35,89,0.393,12,36,0.333,16,20,0.8,9,38,20,8,5,14,22
8,MEM,L,104,113,38,83,0.458,4,26,0.154,24,31,0.774,15,43,18,7,7,13,22,40,84,0.476,13,31,0.419,20,24,0.833,9,39,21,8,7,11,28
9,MIA,L,101,104,34,87,0.391,9,31,0.29,24,30,0.8,18,50,16,11,4,15,22,37,84,0.44,14,36,0.389,16,19,0.842,10,37,23,12,6,16,26
10,SAS,L,107,120,42,82,0.512,11,30,0.367,12,17,0.706,10,39,20,6,4,17,19,45,84,0.536,15,28,0.536,15,19,0.789,11,39,33,13,3,13,21
11,OKC,L,111,120,39,84,0.464,12,30,0.4,21,30,0.7,16,46,13,4,2,18,30,40,78,0.513,11,26,0.423,29,40,0.725,11,40,23,8,7,11,29
12,NOP,L,103,111,35,86,0.407,10,26,0.385,23,27,0.852,8,37,16,12,1,11,24,43,80,0.538,6,16,0.375,19,24,0.792,8,51,26,7,4,23,19
13,PHI,L,105,109,36,82,0.439,12,32,0.375,21,32,0.656,9,34,16,8,4,15,26,38,77,0.494,7,32,0.219,26,35,0.743,10,51,27,9,2,20,26
14,CLE,L,113,118,46,103,0.447,10,35,0.286,11,14,0.786,13,55,29,7,10,15,26,42,90,0.467,11,33,0.333,23,29,0.793,8,51,24,9,4,15,20
15,CHO,L,87,102,33,83,0.398,8,29,0.276,13,19,0.684,7,44,18,5,6,14,22,34,87,0.391,11,26,0.423,23,29,0.793,8,49,20,7,9,8,16
16,NYK,L,85,107,30,80,0.375,10,32,0.313,15,21,0.714,10,36,20,12,3,21,23,35,81,0.432,13,34,0.382,24,25,0.96,14,51,24,11,5,22,26
17,ATL,W,116,103,44,76,0.579,15,30,0.5,13,19,0.684,6,33,30,7,4,15,15,40,83,0.482,10,29,0.345,13,15,0.867,9,36,26,10,2,15,20
18,SAC,W,97,95,38,80,0.475,9,28,0.321,12,13,0.923,6,37,23,11,5,16,13,38,83,0.458,11,21,0.524,8,9,0.889,8,37,19,9,8,18,17
19,LAL,W,120,115,41,85,0.482,10,28,0.357,28,30,0.933,10,44,19,7,3,17,22,44,91,0.484,11,30,0.367,16,24,0.667,12,43,23,10,5,16,29
20,UTA,L,107,126,38,70,0.543,10,29,0.345,21,30,0.7,10,36,23,8,6,19,16,49,85,0.576,17,35,0.486,11,14,0.786,10,33,38,13,2,13,20
21,DAL,L,82,108,30,86,0.349,6,22,0.273,16,23,0.696,11,38,16,8,6,10,20,36,79,0.456,16,35,0.457,20,26,0.769,15,54,24,4,7,15,20
22,MIN,L,106,112,37,73,0.507,15,34,0.441,17,22,0.773,8,37,21,3,7,16,26,38,88,0.432,8,26,0.308,28,31,0.903,14,42,22,9,1,7,16
23,MIN,L,107,113,44,99,0.444,10,32,0.313,9,15,0.6,17,43,23,6,3,9,17,45,82,0.549,7,19,0.368,16,21,0.762,8,46,29,4,7,15,17
24,WAS,W,113,112,39,80,0.488,14,32,0.438,21,24,0.875,4,33,22,8,4,10,19,42,82,0.512,13,32,0.406,15,23,0.652,9,44,33,5,2,13,18
25,TOR,W,96,91,34,92,0.37,8,36,0.222,20,24,0.833,14,57,18,6,7,12,20,32,80,0.4,7,29,0.241,20,26,0.769,3,43,18,8,6,13,22
26,ORL,W,106,95,39,88,0.443,12,26,0.462,16,20,0.8,6,51,25,10,6,8,19,37,88,0.42,9,27,0.333,12,21,0.571,7,45,24,6,6,12,13
27,WAS,L,91,100,33,86,0.384,7,24,0.292,18,29,0.621,12,47,17,12,6,20,20,39,88,0.443,7,31,0.226,15,23,0.652,11,50,21,12,7,19,26
28,MIA,L,85,90,35,80,0.438,8,28,0.286,7,14,0.5,12,46,18,3,5,17,22,31,82,0.378,12,35,0.343,16,21,0.762,9,37,22,10,8,8,15
29,SAS,L,91,109,37,84,0.44,9,29,0.31,8,16,0.5,8,42,21,12,4,17,23,40,82,0.488,9,24,0.375,20,25,0.8,8,45,22,7,4,16,19
30,PHO,W,108,95,41,87,0.471,10,30,0.333,16,24,0.667,9,50,22,1,4,9,19,35,97,0.361,8,35,0.229,17,19,0.895,14,50,22,3,3,10,25
31,HOU,W,128,118,43,91,0.473,18,42,0.429,24,31,0.774,9,38,24,8,5,8,25,36,78,0.462,17,40,0.425,29,35,0.829,9,43,16,4,4,17,26
32,MEM,L,112,115,39,79,0.494,13,34,0.382,21,28,0.75,5,36,14,4,7,10,22,40,90,0.444,13,31,0.419,22,25,0.88,15,47,28,5,5,9,26
33,SAC,W,122,95,44,81,0.543,13,31,0.419,21,27,0.778,9,49,31,7,8,13,13,40,96,0.417,7,22,0.318,8,12,0.667,10,37,25,11,7,9,19
