Game,Opp,Year,W/L,TmScore,OppScore,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
1,NOP,2018-19,L,112,131,39,92,0.424,16,48,0.333,18,24,0.75,8,37,21,8,7,11,22,52,98,0.531,10,25,0.4,17,22,0.773,14,54,36,8,3,12,25
2,LAL,2018-19,W,124,115,44,96,0.458,16,42,0.381,20,30,0.667,13,54,22,7,4,16,21,48,100,0.48,8,32,0.25,11,18,0.611,9,44,28,8,10,10,21
3,LAC,2018-19,L,112,115,43,89,0.483,15,35,0.429,11,15,0.733,6,35,28,6,6,12,23,42,89,0.472,5,25,0.2,26,26,1,12,49,22,8,7,13,16
4,UTA,2018-19,L,89,100,35,87,0.402,11,40,0.275,8,14,0.571,10,35,16,12,5,15,23,34,78,0.436,10,29,0.345,22,28,0.786,9,47,21,7,5,18,21
5,LAC,2018-19,L,113,133,38,98,0.388,15,41,0.366,22,25,0.88,16,42,21,11,7,13,27,43,79,0.544,12,23,0.522,35,38,0.921,5,44,17,8,4,15,21
6,POR,2018-19,L,85,104,31,96,0.323,10,43,0.233,13,23,0.565,20,49,18,7,9,11,25,38,80,0.475,8,20,0.4,20,23,0.87,7,51,17,4,4,17,19
7,BRK,2018-19,W,119,111,41,83,0.494,15,39,0.385,22,32,0.688,11,41,22,4,10,9,21,42,85,0.494,15,34,0.441,12,20,0.6,9,38,22,5,4,10,28
8,CHI,2018-19,W,96,88,35,83,0.422,13,42,0.31,13,20,0.65,10,45,21,13,5,18,22,28,71,0.394,6,23,0.261,26,27,0.963,4,37,15,13,4,19,18
9,IND,2018-19,W,98,94,34,76,0.447,15,47,0.319,15,16,0.938,5,39,23,9,6,16,24,33,75,0.44,8,28,0.286,20,30,0.667,7,39,17,8,3,15,15
10,OKC,2018-19,L,80,98,31,82,0.378,11,42,0.262,7,10,0.7,12,39,16,9,3,16,26,36,81,0.444,9,37,0.243,17,24,0.708,13,52,18,10,4,14,16
11,SAS,2018-19,L,89,96,30,90,0.333,9,41,0.22,20,29,0.69,15,49,11,10,5,8,24,33,74,0.446,10,20,0.5,20,27,0.741,8,46,17,3,5,15,20
12,IND,2018-19,W,115,103,36,74,0.486,20,47,0.426,23,32,0.719,8,38,18,6,5,15,22,36,78,0.462,11,29,0.379,20,26,0.769,5,35,24,10,6,13,22
